PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
C	Hallaj, S; Razi, SSM		Rebelo, F; Soares, M		Hallaj, Shaygan; Razi, Sareh Sadat Moosavi			Design and Evaluation of an Arm Support for Prevention of MSDs in Dentists	ADVANCES IN ERGONOMICS IN DESIGN	Advances in Intelligent Systems and Computing				International Conference on Ergonomics in Design	JUL 27-31, 2016	FL																						2194-5357	2194-5365	978-3-319-41983-1; 978-3-319-41982-4				2016	485						265	275		10.1007/978-3-319-41983-1_24							WOS:000389646200024						
C	Mo, HM; Nwet, KT; Soe, KM		Pan, JS; Lin, JCW; Wang, CH; Jiang, XH		Mo, Hsu Myat; Nwet, Khin Thandar; Soe, Khin Mar			CRF-Based Named Entity Recognition for Myanmar Language	GENETIC AND EVOLUTIONARY COMPUTING	Advances in Intelligent Systems and Computing				10th International Conference on Genetic and Evolutionary Computing (ICGEC)	NOV 07-09, 2016	Fujian Univ Technol, Fuzhou, PEOPLES R CHINA	Springer, Univ Comp Studies, Univ Miyazaki, Kaohsiung Univ Appl Sci, Tech Univ Ostrava, Taiwan Assoc Web Intelligence Consortium, Immers Co Ltd	Fujian Univ Technol								Nwet, Khin Thandar/0000-0002-7635-0416												2194-5357	2194-5365	978-3-319-48490-7; 978-3-319-48489-1				2017	536						204	211		10.1007/978-3-319-48490-7_24							WOS:000405229700024						
C	Rachel, SS; Snekhalatha, U; Vedhasorubini, K; Balakrishnan, D		Dash, SS; Das, S; Panigrahi, BK		Rachel, S. Shamila; Snekhalatha, U.; Vedhasorubini, K.; Balakrishnan, D.			Spectral Analysis of Speech Signal Characteristics: A Comparison Between Healthy Controls and Laryngeal Disorder	INTERNATIONAL CONFERENCE ON INTELLIGENT COMPUTING AND APPLICATIONS, ICICA 2016	Advances in Intelligent Systems and Computing				3rd International Conference on Intelligent Computing and Applications (ICICA)	DEC 21-22, 2016	D Y Patil Coll Engn, Akurdi, INDIA	IRD	D Y Patil Coll Engn							Doraisami, Balakrishnan/AAM-2345-2021; Doraisami, Balakrishnan/AAC-3057-2021	Doraisami, Balakrishnan/0000-0002-9608-3423; Doraisami, Balakrishnan/0000-0002-9608-3423; umapathy, snehalatha/0000-0002-4032-1349												2194-5357	2194-5365	978-981-10-5520-1; 978-981-10-5519-5				2018	632						333	341		10.1007/978-981-10-5520-1_31							WOS:000436504300031						
C	Goncalves, F; Ferme, E; Martins, AL; Ferreira, JC		Madureira, AM; Abraham, A; Gamboa, D; Novais, P		Goncalves, Frederica; Ferme, Eduardo; Martins, Ana Lucia; Ferreira, Joao C.			Towards Activity Theory - Preliminary Report: Ambient Intelligence Applied to Smart Education	INTELLIGENT SYSTEMS DESIGN AND APPLICATIONS (ISDA 2016)	Advances in Intelligent Systems and Computing				16th International Conference on Intelligent Systems Design and Applications (ISDA)	DEC 16-18, 2016	Porto, PORTUGAL	Inst Super Engn Porto, Machine Intelligence Res Labs								Ferme, Eduardo/J-3015-2012; Martins, Ana Lucia/S-9676-2019; Ferreira, Joao Carlos Amaro/B-5351-2009; Martins, Ana Lucia/A-6204-2014	Ferme, Eduardo/0000-0002-9618-2421; Ferreira, Joao Carlos Amaro/0000-0002-6662-0806; Martins, Ana Lucia/0000-0002-8533-6595; Goncalves, Frederica/0000-0002-8857-6244												2194-5357		978-3-319-53480-0; 978-3-319-53479-4				2017	557						630	639		10.1007/978-3-319-53480-0_62							WOS:000406998500062						
C	Chaudhary, KK; Gupta, SK; Mishra, N		Choudhary, RK; Mandal, JK; Auluck, N; Nagarajaram, HA		Chaudhary, Kamal Kumar; Gupta, Sarvesh Kumar; Mishra, Nidhi			An In Silico Approach for Targeting Plasmodium Phosphatidylinositol 4-Kinase to Eradicate Malaria	ADVANCED COMPUTING AND COMMUNICATION TECHNOLOGIES	Advances in Intelligent Systems and Computing				9th International Conference on Advanced Computing and Communication Technologies (ICACCT)	NOV 28-29, 2015	Asia Pacific Inst Informat Technol, Panipat, INDIA	Inst Elect & Telecommunicat Engineers, Comp Soc India	Asia Pacific Inst Informat Technol								Mishra, Nidhi/0000-0002-6028-7723												2194-5357		978-981-10-1023-1; 978-981-10-1021-7				2016	452						279	287		10.1007/978-981-10-1023-1_28							WOS:000387180900028						
C	Reddy, MS; Reddy, PR		Dash, SS; Naidu, PCB; Bayindir, R; Das, S		Reddy, M. Sreenath; Reddy, P. Ramana			Restoring EEG Signals by Artifact Suppression with Different Independent Component Analysis Techniques	ARTIFICIAL INTELLIGENCE AND EVOLUTIONARY COMPUTATIONS IN ENGINEERING SYSTEMS, ICAIECES 2017	Advances in Intelligent Systems and Computing				International Conference on Artificial Intelligence and Evolutionary Computations in Engineering Systems (ICAIECES)	APR 27-29, 2017	Madanapalle Inst Technol & Sci, Madanapalle, INDIA		Madanapalle Inst Technol & Sci																				2194-5357	2194-5365	978-981-10-7868-2; 978-981-10-7867-5				2018	668						517	525		10.1007/978-981-10-7868-2_50							WOS:000550312800050						
C	Pasichnyk, V; Shestakevych, T		Shakhovska, N		Pasichnyk, Volodymyr; Shestakevych, Tetiana			The Model of Data Analysis of the Psychophysiological Survey Results	ADVANCES IN INTELLIGENT SYSTEMS AND COMPUTING, CSIT 2016	Advances in Intelligent Systems and Computing				13th International Scientific and Technical Conference Computer Sciences and Information Technologies (CSIT)	SEP 06-10, 2016	Lviv, UKRAINE	IEEE Advancing Technol Human, IEEE Ukraine Sect, IEEE, IEEE W Ukraine AP ED MTT CPMT SSC Soc Joint Chapter, LITTERIS & ARTIBVS, Lviv Polytechn Natl Univ, Inst Comp Sci & Informat Technologies, Minist Educ & Sci Ukraine								Shestakevych, Tetiana/N-9225-2016	Shestakevych, Tetiana/0000-0002-4898-6927; Pasichnyk, Volodymyr/0000-0002-5231-6395; Kunanets Kunanec, Nataliia/0000-0003-3007-2462												2194-5357		978-3-319-45991-2; 978-3-319-45990-5				2017	512						271	281		10.1007/978-3-319-45991-2_18							WOS:000392266000018						
C	Wang, WF; Yang, CY; Guo, JT		Sun, H; Yang, CY; Lin, CW; Pan, JS; Snasel, V; Abraham, A		Wang, Wen-Fong; Yang, Ching-Yu; Guo, Ji-Ting			A Sport Recognition Method with Utilizing Less Motion Sensors	GENETIC AND EVOLUTIONARY COMPUTING	Advances in Intelligent Systems and Computing				8th International Conference on Genetic and Evolutionary Computing (ICGEC)	OCT 18-20, 2014	Nanchang Inst Technol, Nanchang, PEOPLES R CHINA	National Kaohsiung Univ Appl Sci, VSB Tech Univ Ostrava, Sping	Nanchang Inst Technol																				2194-5357	2194-5365	978-3-319-12285-4				2015	329						155	167		10.1007/978-3-319-12286-1_16							WOS:000360095800016						
C	D'Orazio, P; Silvestri, M		Omatu, S; Bersini, H; Corchado, JM; Rodriguez, S; Pawlewski, P; Bucciarelli, E		D'Orazio, Paola; Silvestri, Marcello			The Empirical Microstructure of Agent-Based Models: Recent Trends in the Interplay between ACE and Experimental Economics	DISTRIBUTED COMPUTING AND ARTIFICIAL INTELLIGENCE, 11TH INTERNATIONAL CONFERENCE	Advances in Intelligent Systems and Computing				11th International Symposium on Distributed Computing and Artificial Intelligence (DCAI)	JUN 04-06, 2014	Salamanca, SPAIN	Univ Salamanca, Bioinformat, Intelligent Syst & Educ Technol Res Grp, Ingn Software Avanzado S A, IBM, ICyL, IEEE Syst Man & Cybernet Soc Spain, Asociac Espanola Inteligencia Artificial, Assoc Portuguesa Para Inteligencia Artificial, Ctr Natl Rech Sci, Minist Economia & Competitividad								D'Orazio, Paola/AAL-2642-2020	D'Orazio, Paola/0000-0002-3660-2877												2194-5357	2194-5365	978-3-319-07593-8; 978-3-319-07592-1				2014	290						85	90		10.1007/978-3-319-07593-8_11							WOS:000342905800011						
C	Yoong, S; Lopez, G; Guerrero, LA		Ho, AG		Yoong, Shirley; Lopez, Gustavo; Guerrero, Luis A.			Smart Device-Based Notifications: A Survey on User's Satisfaction of Traditional Notification Mechanisms	ADVANCES IN COMMUNICATION OF DESIGN	Advances in Intelligent Systems and Computing				AHFE International Conference on Human Factors in Communication of Design	JUL 17-21, 2017	Los Angeles, CA																						2194-5357	2194-5365	978-3-319-60477-0; 978-3-319-60476-3				2018	609						104	114		10.1007/978-3-319-60477-0_12							WOS:000451448300012						
C	Na, L		Du, Z		Na, Li			Detecting Companies' Financial Distress by Multi-attribute Decision-Making Model	PROCEEDINGS OF THE 2012 INTERNATIONAL CONFERENCE OF MODERN COMPUTER SCIENCE AND APPLICATIONS	Advances in Intelligent Systems and Computing				International Conference of Modern Computer Science and Applications (MCSA 2012)	SEP 08, 2012	Wuhan, PEOPLES R CHINA	Informat Technol & Ind Engn Res Ctr																					2194-5357		978-3-642-33029-2				2013	191						485	489									WOS:000313841400078						
C	Neogi, B; Islam, SKS; Chakraborty, P; Barui, S; Das, A		Sa, PK; Sahoo, MN; Murugappan, M; Wu, Y; Majhi, B		Neogi, Biswarup; Islam, S. K. Sanaul; Chakraborty, Pritam; Barui, Swati; Das, Achintya			Introducing MIT Rule Toward Improvement of Adaptive Mechanical Prosthetic Arm Control Model	PROGRESS IN INTELLIGENT COMPUTING TECHNIQUES: THEORY, PRACTICE, AND APPLICATIONS, VOL 1	Advances in Intelligent Systems and Computing				4th International Conference on Advanced Computing, Networking and Informatics (ICACNI)	SEP 22-24, 2016	Natl Inst Technol Rourkela, Ctr Comp Vis & Pattern Recognit, Rourkela, INDIA	Joint Control Syst Soc & Instrumentat & Measurement Soc Chapter, IEEE Kolkata Sect, IEEE Commun Soc Calcutta Chapter, Govt India, CSIR Natl Aerosp Labs Aerosp Elect & Syst Div, Iowa State Univ, Dependable Comp & Networking Lab, Henan Univ Sci & Technol, Multimedia Content Secur Innovat Res Grp, Poznan Univ Technol Vis Lab	Natl Inst Technol Rourkela, Ctr Comp Vis & Pattern Recognit							Neogi, Biswarup/V-1840-2019; Chakraborty, Pritam/AAH-1843-2020; Barui, Swati/AAO-7909-2020; Islam, SK Hafizul/K-5724-2017	Neogi, Biswarup/0000-0002-0981-5383; Islam, SK Hafizul/0000-0002-2703-0213												2194-5357	2194-5365	978-981-10-3373-5; 978-981-10-3372-8				2018	518						379	388		10.1007/978-981-10-3373-5_38							WOS:000450399000038						
C	Osimani, C; Piedra-Fernandez, JA; Ojeda-Castelo, JJ; Iribarne, L		Rocha, A; Correia, AM; Adeli, H; Reis, LP; Costanzo, S		Osimani, Cesar; Piedra-Fernandez, Jose A.; Jesus Ojeda-Castelo, Juan; Iribarne, Luis			Hand Posture Recognition with Standard Webcam for Natural Interaction	RECENT ADVANCES IN INFORMATION SYSTEMS AND TECHNOLOGIES, VOL 2	Advances in Intelligent Systems and Computing				World Conference on Information Systems and Technologies (WorldCIST)	APR 11-13, 2017	Madeira, PORTUGAL									Piedra-Fernandez, Jose/C-3284-2019; Iribarne, Luis/A-2811-2008	Piedra-Fernandez, Jose/0000-0002-8845-8547; Iribarne, Luis/0000-0003-1815-4721												2194-5357	2194-5365	978-3-319-56538-5; 978-3-319-56537-8				2017	570						157	166		10.1007/978-3-319-56538-5_17							WOS:000425541200017						
C	Shah, PD; Bichkar, RS		Dash, SS; Das, S; Panigrahi, BK		Shah, Pratik D.; Bichkar, R. S.			A Secure Spatial Domain Image Steganography Using Genetic Algorithm and Linear Congruential Generator	INTERNATIONAL CONFERENCE ON INTELLIGENT COMPUTING AND APPLICATIONS, ICICA 2016	Advances in Intelligent Systems and Computing				3rd International Conference on Intelligent Computing and Applications (ICICA)	DEC 21-22, 2016	D Y Patil Coll Engn, Akurdi, INDIA	IRD	D Y Patil Coll Engn								Shah, Pratik/0000-0003-3020-5464												2194-5357	2194-5365	978-981-10-5520-1; 978-981-10-5519-5				2018	632						119	129		10.1007/978-981-10-5520-1_12							WOS:000436504300012						
C	Hu, XY		Du, Z		Hu Xiao-ying			Research on Applying Folk Arts' Color in Computer Based Art Design	PROCEEDINGS OF THE 2012 INTERNATIONAL CONFERENCE OF MODERN COMPUTER SCIENCE AND APPLICATIONS	Advances in Intelligent Systems and Computing				International Conference of Modern Computer Science and Applications (MCSA 2012)	SEP 08, 2012	Wuhan, PEOPLES R CHINA	Informat Technol & Ind Engn Res Ctr																					2194-5357		978-3-642-33029-2				2013	191						479	483									WOS:000313841400077						
C	Lachter, J; Brandt, SL; Sadler, G; Shively, RJ		Baldwin, C		Lachter, Joel; Brandt, Summer L.; Sadler, Garrett; Shively, R. Jay			Beyond Point Design: General Pattern to Specific Implementations	ADVANCES IN NEUROERGONOMICS AND COGNITIVE ENGINEERING (AHFE 2017)	Advances in Intelligent Systems and Computing				8th International Conference on Applied Human Factors and Ergonomics (AHFE) / International Conferences on Cognitive and Neuroergonomics and Cognitive Computing and Internet of Things	JUL 17-21, 2017	Los Angeles, CA																						2194-5357	2194-5365	978-3-319-60642-2; 978-3-319-60641-5				2018	586						34	45		10.1007/978-3-319-60642-2_4							WOS:000465822500004						
C	Nematzadeh, Z; Ibrahim, R; Selamat, A		PhonAmnuaisuk, S; Au, TW; Omar, S		Nematzadeh, Zahra; Ibrahim, Roliana; Selamat, Ali			Class Noise Detection Using Classification Filtering Algorithms	COMPUTATIONAL INTELLIGENCE IN INFORMATION SYSTEMS, CIIS 2016	Advances in Intelligent Systems and Computing				Conference on Computational Intelligence in Information Systems (CIIS)	2016	BRUNEI	Univ Teknologi Brunei, Sch Comp & Informat, Int Neural Network Soc, KAIST, Brain Sci Res Ctr, Asia Pacific Neural Network Soc, CISCO, Google Developer Grp Brunei, BAG Networks								Selamat, Ali/E-9645-2011	Selamat, Ali/0000-0001-9746-8459												2194-5357	2194-5365	978-3-319-48517-1; 978-3-319-48516-4				2017	532						121	130		10.1007/978-3-319-48517-1_11							WOS:000405210000011						
C	Seijo, SP; Freire, FC		Rocha, A; Correia, AM; Adeli, H; Reis, LP; Costanzo, S		Perez Seijo, Sara; Campos Freire, Francisco			Diversity and Accessibility Measures to Contents in the European Broadcasting Union's Public Service Broadcasters	RECENT ADVANCES IN INFORMATION SYSTEMS AND TECHNOLOGIES, VOL 3	Advances in Intelligent Systems and Computing				World Conference on Information Systems and Technologies (WorldCIST)	APR 11-13, 2017	Madeira, PORTUGAL									Freire, Francisco Campos/O-6427-2019	Freire, Francisco Campos/0000-0003-1831-1838; Perez-Seijo, Sara/0000-0002-5674-1444												2194-5357	2194-5365	978-3-319-56541-5; 978-3-319-56540-8				2017	571						83	92		10.1007/978-3-319-56541-5_10							WOS:000425539200010						
C	Chou, YC; Chen, SH; Hou, MR		Sun, H; Yang, CY; Lin, CW; Pan, JS; Snasel, V; Abraham, A		Chou, Yung-Chen; Chen, Shu-Huan; Hou, Min-Rui			A Quality Improving Scheme for VQ Decompressed Image Based on DCT	GENETIC AND EVOLUTIONARY COMPUTING	Advances in Intelligent Systems and Computing				8th International Conference on Genetic and Evolutionary Computing (ICGEC)	OCT 18-20, 2014	Nanchang Inst Technol, Nanchang, PEOPLES R CHINA	National Kaohsiung Univ Appl Sci, VSB Tech Univ Ostrava, Sping	Nanchang Inst Technol																				2194-5357	2194-5365	978-3-319-12285-4				2015	329						197	206		10.1007/978-3-319-12286-1_20							WOS:000360095800020						
C	Ghatak, S		Bhattacharyya, S; Chaki, N; Konar, D; Chakraborty, UK; Singh, CT		Ghatak, Sanjoy			Facial Representation Using Linear Barcode	ADVANCED COMPUTATIONAL AND COMMUNICATION PARADIGMS, VOL 2	Advances in Intelligent Systems and Computing				1st International Conference on Advanced Computational and Communication Paradigms (ICACCP)	SEP 08-10, 2017	Sikkim Manipal Inst Technol, Dept Comp Sci & Engn, Majitar, INDIA		Sikkim Manipal Inst Technol, Dept Comp Sci & Engn							Ghatak, Sanjoy/AAV-3059-2020	Ghatak, Sanjoy/0000-0003-1183-3414												2194-5357	2194-5365	978-981-10-8237-5; 978-981-10-8236-8				2018	706						791	801		10.1007/978-981-10-8237-5_76							WOS:000553799500076						
C	Lewis, MC; Maiya, M; Sampathila, N		Dash, SS; Das, S; Panigrahi, BK		Lewis, Macline Crecsilla; Maiya, Manjunatha; Sampathila, Niranjana			A Novel Method for the Conversion of Scanned Electrocardiogram (ECG) Image to Digital Signal	INTERNATIONAL CONFERENCE ON INTELLIGENT COMPUTING AND APPLICATIONS, ICICA 2016	Advances in Intelligent Systems and Computing				3rd International Conference on Intelligent Computing and Applications (ICICA)	DEC 21-22, 2016	D Y Patil Coll Engn, Akurdi, INDIA	IRD	D Y Patil Coll Engn								Sampathila, Dr. Niranjana/0000-0002-3345-360X												2194-5357	2194-5365	978-981-10-5520-1; 978-981-10-5519-5				2018	632						363	373		10.1007/978-981-10-5520-1_34							WOS:000436504300034						
C	Pereira, F; de Gusmao, CMG; de Menezes, JV		Rocha, A; Correia, AM; Adeli, H; Reis, LP; Costanzo, S		Pereira, Fabiano; Gomes de Gusmao, Cristine Martins; de Menezes Junior, Julio Venancio			Assessment of Risk-Based Process Models in Academic Environment	RECENT ADVANCES IN INFORMATION SYSTEMS AND TECHNOLOGIES, VOL 1	Advances in Intelligent Systems and Computing				World Conference on Information Systems and Technologies (WorldCIST)	APR 11-13, 2017	Madeira, PORTUGAL									Menezes, Julio/AAR-7599-2021													2194-5357	2194-5365	978-3-319-56535-4; 978-3-319-56534-7				2017	569						456	462		10.1007/978-3-319-56535-4_46							WOS:000425543100046						
C	Birajdar, GK; Mankar, VH		Satapathy, SC; Joshi, A; Modi, N; Pathak, N		Birajdar, Gajanan K.; Mankar, Vijay H.			Passive Image Manipulation Detection Using Wavelet Transform and Support Vector Machine Classifier	PROCEEDINGS OF INTERNATIONAL CONFERENCE ON ICT FOR SUSTAINABLE DEVELOPMENT, ICT4SD 2015, VOL 1	Advances in Intelligent Systems and Computing				International Conference on Information and Communication Technology for Sustainable Development (ICT4SD)	JUL 03-04, 2015	Ahmedabad, INDIA	ASSOCHAM Gujarat Chapter, ACM Profess Chapter, GESIA, Sabar Inst Technol								Birajdar, Gajanan/Z-1937-2018; Mankar, Vijay H/G-2293-2012	Birajdar, Gajanan/0000-0003-3531-3958; Mankar, Vijay H/0000-0001-6675-4110												2194-5357	2194-5365	978-981-10-0129-1; 978-981-10-0127-7				2016	408						447	455		10.1007/978-981-10-0129-1_47							WOS:000372056300047						
C	Gutierrez-Artacho, J; Olvera-Lobo, MD		Rocha, A; Correia, AM; Adeli, H; Reis, LP; Costanzo, S		Gutierrez-Artacho, Juncal; Olvera-Lobo, Maria-Dolores			Web Localization as an Essential Factor in the Internationalisation of Companies: An Approximation of Spanish SMEs	RECENT ADVANCES IN INFORMATION SYSTEMS AND TECHNOLOGIES, VOL 1	Advances in Intelligent Systems and Computing				World Conference on Information Systems and Technologies (WorldCIST)	APR 11-13, 2017	Madeira, PORTUGAL									Gutierrez-Artacho, Juncal/C-3759-2013	Gutierrez-Artacho, Juncal/0000-0002-0275-600X												2194-5357	2194-5365	978-3-319-56535-4; 978-3-319-56534-7				2017	569						511	520		10.1007/978-3-319-56535-4_52							WOS:000425543100052						
C	Lingam, MS; Kumar, AA; Sudhakara, AM		Dash, SS; Das, S; Panigrahi, BK		Lingam, M. Shankar; Kumar, A. Arun; Sudhakara, A. M.			Network Information Security Model Based on Web Data Mining	INTERNATIONAL CONFERENCE ON INTELLIGENT COMPUTING AND APPLICATIONS, ICICA 2016	Advances in Intelligent Systems and Computing				3rd International Conference on Intelligent Computing and Applications (ICICA)	DEC 21-22, 2016	D Y Patil Coll Engn, Akurdi, INDIA	IRD	D Y Patil Coll Engn							MACHARLA, SHANKAR LINGAM/AAI-3066-2021	MACHARLA, SHANKAR LINGAM/0000-0001-8364-9179												2194-5357	2194-5365	978-981-10-5520-1; 978-981-10-5519-5				2018	632						51	56		10.1007/978-981-10-5520-1_6							WOS:000436504300006						
