PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
C	Klapka, O; Slaby, A		Kunifuji, S; Papadopoulos, GA; Skulimowski, AMJ; Kacprzyk, J		Klapka, Ondrej; Slaby, Antonin			nVidia CUDA Platform in Graph Visualization	KNOWLEDGE, INFORMATION AND CREATIVITY SUPPORT SYSTEMS	Advances in Intelligent Systems and Computing				9th International Conference on Knowledge, Information and Creativity Support Systems (KICSS)	NOV 06-08, 2014	Limassol, CYPRUS	Springer, Japan Adv Inst Sci & Technol, Japan Creativ Soc, Austrian Airlines, Cyprus Tourism Org, Univ Cyprus																					2194-5357		978-3-319-27478-2; 978-3-319-27477-5				2016	416						511	520		10.1007/978-3-319-27478-2_38							WOS:000381929600038						
C	Oliinyk, A; Skrupsky, S; Subbotin, SA		Szewczyk, R; Kaliczynska, M		Oliinyk, Andrii; Skrupsky, Stepan; Subbotin, Sergey A.			Parallel Computer System Resource Planning for Synthesis of Neuro-Fuzzy Networks	RECENT ADVANCES IN SYSTEMS, CONTROL AND INFORMATION TECHNOLOGY	Advances in Intelligent Systems and Computing				International Conference on Systems, Control and Information Technologies (SCIT)	MAY 20-21, 2016	Warsaw, POLAND									SUBBOTIN, SERGEY/K-4862-2017; Oliinyk, Andrii/U-8930-2017; Skrupsky, Stepan/S-7161-2018	SUBBOTIN, SERGEY/0000-0001-5814-8268; Oliinyk, Andrii/0000-0002-6740-6078; Skrupsky, Stepan/0000-0002-9437-9095												2194-5357		978-3-319-48923-0; 978-3-319-48922-3				2017	543						88	96		10.1007/978-3-319-48923-0_12							WOS:000413065400012						
C	Plinta, D; Krajcovic, M		Szewczyk, R; Zielinski, C; Kaliczynska, M		Plinta, Dariusz; Krajcovic, Martin			Production System Designing with the Use of Digital Factory and Augmented Reality Technologies	PROGRESS IN AUTOMATION, ROBOTICS AND MEASURING TECHNIQUES: CONTROL AND AUTOMATION	Advances in Intelligent Systems and Computing				International Conference on Automation	MAR 18-20, 2015	Warsaw, POLAND									Krajcovic, Martin/AAD-8098-2019	Krajcovic, Martin/0000-0003-3516-9618; Plinta, Dariusz/0000-0002-4638-5319												2194-5357		978-3-319-15796-2; 978-3-319-15795-5				2015	350						187	196		10.1007/978-3-319-15796-2_19							WOS:000379159000019						
C	Amarowicz, M		Korbicz, J; Kowal, M		Amarowicz, Marcin			Simulators for Defining of Requirements for Diagnostic Systems	INTELLIGENT SYSTEMS IN TECHNICAL AND MEDICAL DIAGNOSTICS	Advances in Intelligent Systems and Computing				11th International Conference on Diagnostics of Processes and Systems (DPS)	SEP 08-11, 2013	Lagow Lubuski, POLAND	Univ Zielona Gora, Inst Control & Computat Engn, Warsaw Univ Technol, Lubuskie Sci Soc, Polish Minist Sci & Higher Educ, Polish Acad Sci, Comm Automat Control & Robot, Gdansk Univ Technol																					2194-5357		978-3-642-39881-0; 978-3-642-39880-3				2014	230						187	198		10.1007/978-3-642-39881-0_15							WOS:000329201800015						
C	Potey, MM; Dhote, CA; Sharma, DH		Saeed, K; Chaki, N; Pati, B; Bakshi, S; Mohapatra, DP		Potey, Manish M.; Dhote, C. A.; Sharma, Deepak H.			Minimizing Ciphertext in Homomorphic Encryption Scheme for Cloud Data	PROGRESS IN ADVANCED COMPUTING AND INTELLIGENT ENGINEERING, PROCEEDINGS OF ICACIE 2016, VOLUME 1	Advances in Intelligent Systems and Computing				International Conference on Advanced Computing and Intelligent Engineering (ICACIE)	DEC 23-25, 2016	C.V. Raman Coll Engn, Bhubaneswar, INDIA	DRDO	C.V. Raman Coll Engn							Potey, Manish/AAR-8991-2021; Sharma, Deepak/P-8418-2019; Dhote, Chandrashekhar/AAS-6510-2020	Sharma, Deepak/0000-0002-9129-2031; 												2194-5357	2194-5365	978-981-10-6872-0; 978-981-10-6871-3				2018	563						583	591		10.1007/978-981-10-6872-0_56							WOS:000450831300056						
C	Griol, D; Molina, JM		Omatu, S; Selamat, A; Bocewicz, G; Sitek, P; Nielsen, I; GarciaGarcia, JA; Bajo, J		Griol, David; Manuel Molina, Jose			Which Is the Most Appropriate Response? Combining Decision-Support Systems and Conversational Interfaces	DISTRIBUTED COMPUTING AND ARTIFICIAL INTELLIGENCE, (DCAI 2016)	Advances in Intelligent Systems and Computing				13th International Conference on Distributed Computing and Artificial Intelligence (DCAI)	JUN 01-03, 2016	Sevilla, SPAIN	IBM, Indra, Fidetia, IEEE SMC Spain								Griol, David/L-1258-2014	Griol, David/0000-0001-6266-5321												2194-5357		978-3-319-40162-1; 978-3-319-40161-4				2016	474						395	402		10.1007/978-3-319-40162-1_43							WOS:000387181500043						
C	Abo-alian, A; Badr, NL; Tolba, MF		Hassanien, AE; Shaalan, K; Gaber, T; Azar, AT; Tolba, MF		Abo-alian, Alshaimaa; Badr, Nagwa L.; Tolba, M. F.			Security as a Service Model for Cloud Storage	PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON ADVANCED INTELLIGENT SYSTEMS AND INFORMATICS 2016	Advances in Intelligent Systems and Computing				2nd International Conference on Advanced Intelligent Systems and Informatics (AISI)	OCT 24-26, 2016	Cairo, EGYPT	Sci Res Grp Egypt, IEEE Computat Intelligence Soc, Egypt Chapter, IEEE Robot & Automat Soc, Egypt Chapter									Abo-alian, Alshaimaa/0000-0002-0609-2300												2194-5357	2194-5365	978-3-319-48308-5; 978-3-319-48307-8				2017	533						225	233		10.1007/978-3-319-48308-5_22							WOS:000398724000022						
C	Kundu, S; Sarker, G		Mandal, JK; Satapathy, SC; Sanyal, MK; Bhateja, V		Kundu, Sumana; Sarker, Goutam			A Person Identification System with Biometrics Using Modified RBFN Based Multiple Classifiers	PROCEEDINGS OF THE FIRST INTERNATIONAL CONFERENCE ON INTELLIGENT COMPUTING AND COMMUNICATION	Advances in Intelligent Systems and Computing				1st International Conference on Intelligent Computing and Communication, (ICIC2)	FEB 18-19, 2016	Univ Kalyani, Kalyani, INDIA	Univ Kalyani, Fac Engn, Technol & Management, Kalyani Univ, DST PURSE Program Govt India, UGC, Comp Soc India Div V	Univ Kalyani																				2194-5357	2194-5365	978-981-10-2035-3; 978-981-10-2034-6				2017	458						415	424		10.1007/978-981-10-2035-3_42							WOS:000401109800042						
C	Kierzkowski, A; Kisiel, T		Zamojski, W; Mazurkiewicz, J; Sugier, J; Walkowiak, T; Kacprzyk, J		Kierzkowski, Artur; Kisiel, Tomasz			Functional Readiness of the Check-In Desk System at an Airport	THEORY AND ENGINEERING OF COMPLEX SYSTEMS AND DEPENDABILITY	Advances in Intelligent Systems and Computing				10th International Conference on Dependability and Complex Systems (DepCoS-RELCOMEX)	JUN 29-JUL 03, 2015	Brunow, POLAND	Wroclaw Univ Technol, Dept Comp Engn								Kierzkowski, Artur/P-8091-2015; Kisiel, Tomasz/P-8089-2015	Kierzkowski, Artur/0000-0003-2052-2167; Kisiel, Tomasz/0000-0003-4594-7874												2194-5357	2194-5365	978-3-319-19216-1; 978-3-319-19215-4				2015	365						223	233		10.1007/978-3-319-19216-1_21							WOS:000365127100021						
C	Pohoski, A; Koszalka, L; Pozniak-Koszalka, I; Kasprzak, A		Stanton, NA; Landry, S; DiBucchianico, G; Vallicelli, A		Pohoski, Artur; Koszalka, Leszek; Pozniak-Koszalka, Iwona; Kasprzak, Andrzej			Experimentation System for Determining Bus Routes for Customers of Supermarket Chains	ADVANCES IN HUMAN ASPECTS OF TRANSPORTATION	Advances in Intelligent Systems and Computing				International Conference on Human Factors in Transportation	JUL 27-31, 2016	FL																						2194-5357	2194-5365	978-3-319-41682-3; 978-3-319-41681-6				2017	484						611	622		10.1007/978-3-319-41682-3_51							WOS:000390836900051						
C	Das, H; Jena, AK; Badajena, JC; Pradhan, C; Barik, RK		Pattnaik, PK; Rautaray, SS; Das, H; Nayak, J		Das, Himansu; Jena, Ajay Kumar; Badajena, J. Chandrakant; Pradhan, Chittaranjan; Barik, R. K.			Resource Allocation in Cooperative Cloud Environments	PROGRESS IN COMPUTING, ANALYTICS AND NETWORKING, ICCAN 2017	Advances in Intelligent Systems and Computing				International Conference on Computing, Analytics and Networking (ICCAN)	DEC 15-16, 2017	Bhubaneswar, INDIA	KIIT Univ, Sch Comp Engn								Das, Himansu/A-6052-2018; Badajena, J. Chandrakant/O-3005-2017; Barik, Rabindra K/G-6004-2014; Pradhan, Chittaranjan/Y-5950-2018	Das, Himansu/0000-0002-3995-2768; Badajena, J. Chandrakant/0000-0002-3184-1908; Barik, Rabindra K/0000-0003-3086-3782; Jena, Ajay Kumar/0000-0002-6593-8644; Pradhan, Chittaranjan/0000-0003-4928-7164												2194-5357	2194-5365	978-981-10-7871-2; 978-981-10-7870-5				2018	710						825	841		10.1007/978-981-10-7871-2_79							WOS:000553798900079						
C	Suzuki, A; Wajima, M; Kawakami, T; Okazaki, T		Lee, S; Cho, HS; Yoon, KJ; Lee, JM		Suzuki, Akihiro; Wajima, Masayuki; Kawakami, Takashi; Okazaki, Tetsuo			Visualization of Spatial Expression Ability Using a 3-D Expression System	INTELLIGENT AUTONOMOUS SYSTEMS 12 , VOL 2	Advances in Intelligent Systems and Computing				12th International Conference of Intelligent Autonomous Systems	JUN 26-29, 2012	Jeju, SOUTH KOREA																						2194-5357		978-3-642-33931-8				2013	194						825	834									WOS:000313768300078						
C	Kureichik, VV; Kravchenko, YA; Bova, VV		Silhavy, R; Senkerik, R; Oplatkova, ZK; Prokopova, Z; Silhavy, P		Kureichik, V. V.; Kravchenko, Y. A.; Bova, V. V.			Decision Support Systems for Knowledge Management	SOFTWARE ENGINEERING IN INTELLIGENT SYSTEMS (CSOC2015), VOL 3	Advances in Intelligent Systems and Computing				4th Computer Science On-line Conference (CSOC)	APR 27-30, 2015	CZECH REPUBLIC									Kravchenko, Yury/Q-9390-2016; Kureichik, Vladimir/C-4977-2011	Kureichik, Vladimir/0000-0002-6260-4286												2194-5357		978-3-319-18473-9; 978-3-319-18472-2				2015	349						123	130		10.1007/978-3-319-18473-9_13							WOS:000368088400013						
C	Jarzebowska, E; Szwajewski, M		Szewczyk, R; Kaliczynska, M		Jarzebowska, Elzbieta; Szwajewski, Michal			Quaternion Based Dynamics for Servicing Satellite with Mission Protocol Description	RECENT ADVANCES IN SYSTEMS, CONTROL AND INFORMATION TECHNOLOGY	Advances in Intelligent Systems and Computing				International Conference on Systems, Control and Information Technologies (SCIT)	MAY 20-21, 2016	Warsaw, POLAND									Jarzebowska, Elzbieta M/U-9990-2018	Jarzebowska, Elzbieta M/0000-0003-1407-7546												2194-5357		978-3-319-48923-0; 978-3-319-48922-3				2017	543						816	825		10.1007/978-3-319-48923-0_87							WOS:000413065400087						
C	Das, RK; Panda, M; Dash, S; Dash, SS		Pattnaik, PK; Rautaray, SS; Das, H; Nayak, J		Das, Rama Krushna; Panda, Manisha; Dash, Sanghamitra; Dash, Sweta Shree			Application of Artificial Immune System Algorithms in Anomaly Detection	PROGRESS IN COMPUTING, ANALYTICS AND NETWORKING, ICCAN 2017	Advances in Intelligent Systems and Computing				International Conference on Computing, Analytics and Networking (ICCAN)	DEC 15-16, 2017	Bhubaneswar, INDIA	KIIT Univ, Sch Comp Engn																					2194-5357	2194-5365	978-981-10-7871-2; 978-981-10-7870-5				2018	710						687	694		10.1007/978-981-10-7871-2_66							WOS:000553798900066						
C	Moreira, F; Cota, MP; Goncalves, R		Rocha, A; Correia, AM; Costanzo, S; Reis, LP		Moreira, Fernando; Cota, Manuel Perez; Goncalves, Ramiro			The Influence of the Use of Mobile Devices and the Cloud Computing in Organizations	NEW CONTRIBUTIONS IN INFORMATION SYSTEMS AND TECHNOLOGIES, VOL 1, PT 1	Advances in Intelligent Systems and Computing				World Conference on Information Systems and Technologies (WorldCIST)	APR 01-03, 2015	Univ Azores, Ponta Delgada, PORTUGAL		Univ Azores							Moreira, Fernando/F-4463-2015; Moreira, Fernando/P-9673-2016	Moreira, Fernando/0000-0002-0816-1445; Moreira, Fernando/0000-0002-0816-1445												2194-5357	2194-5365	978-3-319-16486-1; 978-3-319-16485-4				2015	353		1				275	284		10.1007/978-3-319-16486-1_28							WOS:000381744400028						
C	Kansagara, K; Shravya, KV; Sivanantham, S		Mandal, JK; Satapathy, SC; Sanyal, MK; Sarkar, PP; Mukhopadhyay, A		Kansagara, Kevin; Shravya, K. V.; Sivanantham, S.			Dynamic Reconfigurable Architectures-A Boon for Desires of Real Time Systems	INFORMATION SYSTEMS DESIGN AND INTELLIGENT APPLICATIONS, VOL 2	Advances in Intelligent Systems and Computing				2nd International Conference on Information Systems Design and Intelligent Applications (INDIA)	JAN 08-09, 2015	Univ Kalyani, Kalyani, INDIA	Univ Kalyani, Fac Engn, Technol & Management, UGC New Delhi	Univ Kalyani							Sivanantham, S/A-2416-2014	Sivanantham, S/0000-0002-1010-5178												2194-5357	2194-5365	978-81-322-2247-7; 978-81-322-2246-0				2015	340						235	244		10.1007/978-81-322-2247-7_25							WOS:000357739900025						
C	Abur, MM; Junaidu, SB; Danjuma, S; Arlis, S; Ritonga, R; Herawan, T		Bhateja, V; LeNguyen, B; Nguyen, NG; Satapathy, SC; Le, DN		Abur, Maria M.; Junaidu, Sahalu B.; Danjuma, Sani; Arlis, Syafri; Ritonga, Rajab; Herawan, Tutut			Towards a Privacy Mechanism for Preventing Malicious Collusion of Multiple Service Providers (SPs) on the Cloud	INFORMATION SYSTEMS DESIGN AND INTELLIGENT APPLICATIONS, INDIA 2017	Advances in Intelligent Systems and Computing				4th International Conference on Information Systems Design and Intelligent Applications (INDIA)	JUN 15-17, 2017	Duy Tan Univ, Da Nang, VIETNAM		Duy Tan Univ							Herawan, Tutut/AAB-6534-2021; Arlis, Syafri/X-3227-2018	Herawan, Tutut/0000-0001-9262-9137; Arlis, Syafri/0000-0003-3279-4637												2194-5357	2194-5365	978-981-10-7512-4; 978-981-10-7511-7				2018	672						730	739		10.1007/978-981-10-7512-4_72							WOS:000456194600072						
C	Paul, M; Das, A		Satapathy, SC; Mandal, JK; Udgata, SK; Bhateja, V		Paul, Mridul; Das, Ajanta			SLA Based e-Learning Service Provisioning in Cloud	INFORMATION SYSTEMS DESIGN AND INTELLIGENT APPLICATIONS, VOL 3, INDIA 2016	Advances in Intelligent Systems and Computing				3rd International Conference on Information System Design and Intelligent Applications (INDIA)	JAN 08-09, 2016	ANITS Campus, Visakhapatnam, INDIA	Anil Neerukonda Inst Technol & Sci, Det CSE, ANITS CSI Student Branch	ANITS Campus																				2194-5357	2194-5365	978-81-322-2757-1; 978-81-322-2756-4				2016	435						49	57		10.1007/978-81-322-2757-1_6							WOS:000373011500006						
C	Kilic, K; Casillas, J		Casillas, J; MartinezLopez, FJ; Corchado, JM		Kilic, Kemal; Casillas, Jorge			Hybrid Genetic-Fuzzy System Modeling Application in Innovation Management	MANAGEMENT INTELLIGENT SYSTEMS	Advances in Intelligent Systems and Computing				1st International Symposium on Management Intelligent Systems	JUL 11-13, 2012	Salamanca, SPAIN	Univ Granada, Soft Comp & Intelligent Informat Syst Res Grp, Univ Salamanca, Bioinformat Intelligent Syst & Educ Technol Res Grp								Casillas, Jorge/H-4922-2011; Kilic, Kemal/B-3894-2013	Casillas, Jorge/0000-0002-5887-3977; Kilic, Kemal/0000-0003-4506-9434												2194-5357		978-3-642-30863-5				2012	171						25	+									WOS:000312965200003						
C	Liu, YF; Li, L; Tan, YG		Wen, Z; Li, T		Liu, Yifang; Li, Liang; Tan, Yuegang			Steering Nonholonomic Systems with Cosine Switch Control	PRACTICAL APPLICATIONS OF INTELLIGENT SYSTEMS, ISKE 2013	Advances in Intelligent Systems and Computing				8th International Conference on Intelligent Systems and Knowledge Engineering (ISKE)	NOV 20-23, 2013	Shenzhen, PEOPLES R CHINA	Shenzhen Univ, Sci China Press, Chinese Acad Sci, IEEE Computat Intelligence Soc, Chinese Assoc Artificial Intelligence, State Key Lab Complex Elect Syst Simulat, Sci & Technol Integrated Informat Syst Lab, SW Jiaotong Univ, Univ Technol																					2194-5357	2194-5365	978-3-642-54927-4; 978-3-642-54926-7				2014	279						167	176		10.1007/978-3-642-54927-4_16							WOS:000348509400016						
C	Li, QH		Wen, Z; Li, T		Li, Qihui			Fuzzy Prediction of Molten Iron Silicon Content in BF Based on Hierarchical System	PRACTICAL APPLICATIONS OF INTELLIGENT SYSTEMS, ISKE 2013	Advances in Intelligent Systems and Computing				8th International Conference on Intelligent Systems and Knowledge Engineering (ISKE)	NOV 20-23, 2013	Shenzhen, PEOPLES R CHINA	Shenzhen Univ, Sci China Press, Chinese Acad Sci, IEEE Computat Intelligence Soc, Chinese Assoc Artificial Intelligence, State Key Lab Complex Elect Syst Simulat, Sci & Technol Integrated Informat Syst Lab, SW Jiaotong Univ, Univ Technol																					2194-5357		978-3-642-54927-4; 978-3-642-54926-7				2014	279						251	257		10.1007/978-3-642-54927-4_24							WOS:000348509400024						
C	Pycinski, B		Gzik, M; Tkacz, E; Paszenda, Z; Pietka, E		Pycinski, Bartlomiej			Estimation of Pointer Calibration Error in Optical Tracking System	INNOVATIONS IN BIOMEDICAL ENGINEERING	Advances in Intelligent Systems and Computing				Conference on Innovations in Biomedical Engineering (IBE)	OCT 16-18, 2016	Zabrze, POLAND									Pycinski, Bartlomiej/G-7989-2015	Pycinski, Bartlomiej/0000-0002-6634-4127												2194-5357	2194-5365	978-3-319-47154-9; 978-3-319-47153-2				2017	526						228	239		10.1007/978-3-319-47154-9_27							WOS:000455777500027						
C	Sahoo, P; Mohanty, JR; Sahoo, D		Satapathy, SC; Tavares, JMRS; Bhateja, V; Mohanty, JR		Sahoo, Pulak; Mohanty, J. R.; Sahoo, Debabrata			Early System Test Effort Estimation Automation for Object-Oriented Systems	INFORMATION AND DECISION SCIENCES	Advances in Intelligent Systems and Computing				6th International Conference on Frontiers of Intelligent Computing: Theory and Applications (FICTA)	OCT 14-15, 2017	KIIT Univ, Sch Comp Applicat, Bhubaneswar, INDIA		KIIT Univ, Sch Comp Applicat																				2194-5357	2194-5365	978-981-10-7563-6; 978-981-10-7562-9				2018	701						325	333		10.1007/978-981-10-7563-6_34							WOS:000553798400034						
C	Costa, M; Fazendeiro, P		Rocha, A; Correia, AM; Tan, FB; Stroetmann, KA		Costa, Micael; Fazendeiro, Paulo			A Simple Movement Classification System for Smartphones with Accelerometer	NEW PERSPECTIVES IN INFORMATION SYSTEMS AND TECHNOLOGIES, VOL 2	Advances in Intelligent Systems and Computing				World Conference on Information Systems and Technologies (WorldCIST)	APR 15-18, 2014	Funchal, PORTUGAL									Fazendeiro, Paulo/B-7713-2008; Fazendeiro, Paulo/AAA-1186-2021	Fazendeiro, Paulo/0000-0001-6054-7188; Fazendeiro, Paulo/0000-0001-6054-7188												2194-5357		978-3-319-05948-8; 978-3-319-05947-1				2014	276						319	328		10.1007/978-3-319-05948-8_31							WOS:000354299300031						
